repo_name,display_name,prs_open,prs_merged,issues_ready_for_qa,issues_qa_completed,days_since_last_release,fetched_at
Focus-Bear/web_dashboard,Web Dashboard,8,14,157,20,9,2026-02-23T12:15:12.156757+00:00
Focus-Bear/backend,Backend,5,15,46,0,,2026-02-23T12:15:12.156757+00:00
Focus-Bear/mobile-app,Mobile,17,14,11,7,9,2026-02-23T12:15:12.156757+00:00
Focus-Bear/Mac-App,Mac,12,0,586,15,,2026-02-23T12:15:12.156757+00:00
Focus-Bear/windows-app-v2,Windows,9,4,164,7,135,2026-02-23T12:15:12.156757+00:00
